Feature	MeanAbsSHAP_RF
ECFP_191	0.0005244912873046555
ECFP_192	0.0007255043939558373
ECFP_193	0.0009476099967141964
ECFP_194	0.00039196387046266343
ECFP_195	0.000435886260579265
ECFP_196	0.0003200576762487016
ECFP_197	0.0008401379986266543
ECFP_198	0.0002513680801369455
ECFP_199	0.00028531728690561064
ECFP_200	0.001258717196098018
ECFP_201	0.000369200775143205
ECFP_202	0.0008178846422256282
ECFP_203	0.0002130488415131442
ECFP_204	0.0004523172424381769
ECFP_205	0.0002448275103953383
ECFP_206	0.0004272099417351134
ECFP_207	0.0022604003428558245
ECFP_208	0.00031256034086298544
ECFP_209	0.00013248788368925164
ECFP_210	0.0008316996293571101
ECFP_211	0.00013391171765473475
ECFP_212	0.000734680068384047
ECFP_213	0.000322609991471655
ECFP_214	0.0012661955590187674
ECFP_215	7.497943542562821e-05
ECFP_216	0.0010426365166032931
ECFP_217	0.0003080413544607841
ECFP_218	0.0004306829467651205
ECFP_219	0.0013475233059102166
ECFP_220	0.0007705569019669399
ECFP_221	0.0005745228416127454
ECFP_222	0.0024239139401337918
ECFP_223	0.00011510395520140434
ECFP_224	0.0002919417387469516
ECFP_225	0.00038950162727292273
ECFP_226	0.0006664651926795372
ECFP_227	0.0036449888508476662
ECFP_228	0.0004745107850681582
ECFP_229	0.000464041616633591
ECFP_230	6.381616923881158e-05
ECFP_231	0.0006413154068156151
ECFP_232	0.0001214397466863277
ECFP_233	0.000594330368499823
ECFP_234	0.0002779913783820229
ECFP_235	0.000354984751861752
ECFP_236	0.0003035132642120105
ECFP_237	0.0034513055180372927
ECFP_238	0.0001572987238671439
ECFP_239	0.00023539377820253488
ECFP_240	0.0002884220247050894
ECFP_241	0.00014389381244601826
ECFP_242	0.00028901500275900114
ECFP_243	0.00023843017858903373
ECFP_244	0.00011492196043812623
ECFP_245	0.00018345253107444553
ECFP_246	0.0007274131628632508
ECFP_247	0.00012118024982778648
ECFP_248	0.00016250017237490834
ECFP_249	0.0003676392581300084
ECFP_250	0.000755448419700213
ECFP_251	0.00026878262854911886
ECFP_252	0.0001808585199282397
ECFP_253	0.0005874082470327169
ECFP_254	0.0002468831426909537
ECFP_255	0.000767415871067893
ECFP_256	0.0007800364219574457
ECFP_257	0.00016789281904191144
ECFP_258	0.00033120948001554983
ECFP_259	0.00020019964080512055
ECFP_260	0.00018755317247148807
ECFP_261	0.00019767609042206955
ECFP_262	0.0003313917876358501
ECFP_263	0.0011666213996110518
ECFP_264	0.00014646341078851168
ECFP_265	0.0002565163498065282
ECFP_266	0.0006457282186090983
ECFP_267	0.00034737467425239145
ECFP_268	0.000917497745646018
ECFP_269	0.000199395967500836
ECFP_270	0.00021940863396608824
ECFP_271	0.0005085727908553379
ECFP_272	0.00015600074512001015
ECFP_273	0.00018158101303126142
ECFP_274	0.00048542859373137395
ECFP_275	0.000516334964925191
ECFP_276	0.0001137828400481376
ECFP_277	0.00025646125240205437
ECFP_278	0.00015959321199450697
ECFP_279	0.00016728872075312868
ECFP_280	0.00040552353393735004
ECFP_281	0.00034751792722701326
ECFP_282	0.0001887052914899383
ECFP_283	0.0008516617232485084
ECFP_284	0.0032645852443361316
ECFP_285	0.0002874105806385301
ECFP_286	0.00010118332513837064
ECFP_287	0.00020904762491796942
ECFP_288	0.0015600544601335213
ECFP_289	0.00044166453054267623
ECFP_290	0.00020197084202063187
ECFP_291	0.00011403381612846075
ECFP_292	0.00033367504882829836
ECFP_293	0.0001321428214045735
ECFP_294	0.0009964426583889407
ECFP_295	0.0006928571074810584
ECFP_296	0.00010555856592317408
ECFP_297	0.0006123672712496169
ECFP_298	0.000650991410700434
ECFP_299	0.00022326836496460296
ECFP_300	0.000545070354220041
ECFP_301	0.0012492952483230443
ECFP_302	0.0005411104991232627
ECFP_303	0.00019979339355709731
ECFP_304	0.0007920688063328435
ECFP_305	0.00021443596442444483
ECFP_306	0.00020841814618175342
ECFP_307	0.000917068185577379
ECFP_308	0.0011344373119737006
ECFP_309	0.0003105593610703446
ECFP_310	0.0004051809540931911
ECFP_311	0.0013603294094275266
ECFP_312	0.00017447776847712151
ECFP_313	0.0001291870652029038
ECFP_314	0.0033614668392229286
ECFP_315	0.0002627086735789336
ECFP_316	0.0003715741856110832
ECFP_317	0.00024313496613586808
ECFP_318	0.0004944883613465887
ECFP_319	0.0003064719791821338
ECFP_320	0.0002388187519660189
ECFP_321	0.0002743122191201293
ECFP_322	0.0014821382171520756
ECFP_323	0.00022994388701719042
ECFP_324	0.00066547224093016
ECFP_325	0.002110480989509729
ECFP_326	0.00021729258608372426
ECFP_327	0.00042572330351615446
ECFP_328	0.00018887792539068292
ECFP_329	0.00027920359277019263
ECFP_330	0.00015058637185437276
ECFP_331	0.00019321158673025205
ECFP_332	0.0001653977458701107
ECFP_333	0.00341155327900588
ECFP_334	0.00014511035458057267
ECFP_335	0.00013726988202684233
ECFP_336	0.000932816171175498
ECFP_337	0.0001776732763810812
ECFP_338	0.00040917752817374393
ECFP_339	0.00024279783536839485
ECFP_340	0.0001806149055827025
ECFP_341	0.002794399413488611
ECFP_342	0.0006421710563960231
ECFP_343	0.000581760017742841
ECFP_344	0.00015112190578251235
ECFP_345	0.0005150917188015608
ECFP_346	0.0006672645901404508
ECFP_347	8.464982371902289e-05
ECFP_348	0.0005227744586094756
ECFP_349	0.0011693720174774079
ECFP_350	0.0011366546390937531
ECFP_351	0.0002584360684939971
ECFP_352	0.0002637417645583609
ECFP_353	0.00022125835740994957
ECFP_354	0.000523226940160414
