Feature	MeanAbsSHAP_LogReg
ECFP_371	0.0047312719141562945
ECFP_372	0.001455308064433199
ECFP_373	0.002474801600285935
ECFP_374	0.0036758863932003735
ECFP_375	0.0034123645737634102
ECFP_376	0.008398599523697443
ECFP_377	0.0022619835235706855
ECFP_378	0.0754428591404114
ECFP_379	0.001810603579792134
ECFP_380	0.0004266623709456908
ECFP_381	0.021656781788259312
ECFP_382	0.0008749642632886196
ECFP_383	0.01235792754717015
ECFP_384	0.0060814862310373296
ECFP_385	0.006050000792610013
ECFP_386	0.008030074697961138
ECFP_387	0.003807874671088945
ECFP_388	0.0015700437975484532
ECFP_389	0.020273765943289702
ECFP_390	0.004457898185614262
ECFP_391	0.0037540832446166287
ECFP_392	0.03954563300351909
ECFP_393	0.028291559149669198
ECFP_394	0.005233010055816843
ECFP_395	0.0006997971853112508
ECFP_396	0.0018981233654332148
ECFP_397	0.0060507399010381775
ECFP_398	0.015067984907085288
ECFP_399	0.0036377356478037915
ECFP_400	0.0021756977195709765
ECFP_401	0.0037442426991301002
ECFP_402	0.0011808045449242307
ECFP_403	0.0006204889616893972
ECFP_404	0.0014056543457144307
ECFP_405	0.0014804951974779813
ECFP_406	0.015667147249908024
ECFP_407	0.018261136775932683
ECFP_408	0.0029289749281965092
ECFP_409	0.006663495285653224
ECFP_410	0.00102754187401531
ECFP_411	0.002064952821043173
ECFP_412	0.006102876537801805
ECFP_413	0.0013006959341612299
ECFP_414	0.008875648046842164
ECFP_415	0.0037424021873953663
ECFP_416	0.021413428495910058
ECFP_417	0.009505331889585711
ECFP_418	0.0002812610206581453
ECFP_419	0.009154695274912788
ECFP_420	0.009132208738318676
ECFP_421	0.005361215299075897
ECFP_422	0.0054297453992756504
ECFP_423	0.0013071330013640695
ECFP_424	0.004226774983625753
ECFP_425	0.0015953946897783865
ECFP_426	0.0034454365091986607
ECFP_427	0.0013267126385910126
ECFP_428	0.04264886416502241
ECFP_429	0.003546236439866529
ECFP_430	0.00439229742938063
ECFP_431	0.0008830335407747552
ECFP_432	0.0022961634459542756
ECFP_433	0.009609322494362454
ECFP_434	0.0013352070673093319
ECFP_435	0.010518856179956909
ECFP_436	0.003863170665649412
ECFP_437	0.0028804853591146177
ECFP_438	0.001164974715555714
ECFP_439	0.006668995620149889
ECFP_440	0.0019003248839626597
ECFP_441	0.0029079418040324854
ECFP_442	0.0066949215689403015
ECFP_443	0.0005279883053371004
ECFP_444	0.005290870167142166
ECFP_445	0.0038118599494593995
ECFP_446	0.003948289451709736
ECFP_447	0.002179036910792866
ECFP_448	0.004823706979832839
ECFP_449	0.0031474223744446675
ECFP_450	0.005336665509016674
ECFP_451	0.01591865529684218
ECFP_452	0.02304214501566985
ECFP_453	0.01778342098185375
ECFP_454	0.006874150685755885
ECFP_455	0.004407399852239819
ECFP_456	0.056025551507340586
ECFP_457	0.002906830297333911
ECFP_458	0.02108398511513152
ECFP_459	0.0007444816059159998
ECFP_460	0.010228068344309418
ECFP_461	0.006047403863414706
ECFP_462	0.0007238080997513854
ECFP_463	0.012763293046677976
ECFP_464	0.01800216804051505
ECFP_465	0.010425459327615018
ECFP_466	0.003970467828541119
ECFP_467	0.000797299017729441
ECFP_468	0.0009580662883411052
ECFP_469	0.0011762720047251124
ECFP_470	0.024913849290957468
ECFP_471	0.003036530917618248
ECFP_472	0.001197180774738712
ECFP_473	0.0025638829636012435
ECFP_474	0.009382423088844283
ECFP_475	0.0016814126290290276
ECFP_476	0.0022489086956246533
ECFP_477	8.011395338047908e-05
ECFP_478	0.003942955894532009
ECFP_479	0.006215319001183172
ECFP_480	0.003609347806236204
ECFP_481	0.0034261930398778845
ECFP_482	0.007280580783105785
ECFP_483	0.0019850179966580234
ECFP_484	0.014036944084669229
ECFP_485	0.0019516335640839145
ECFP_486	0.08041323100474075
ECFP_487	0.002133265522947864
ECFP_488	0.002850774166017028
ECFP_489	0.015289649203969271
ECFP_490	0.0013438014218851847
ECFP_491	0.024166922498717654
ECFP_492	0.015343212392557684
ECFP_493	0.017839028644842343
ECFP_494	0.010844496137110887
ECFP_495	0.004917890778906239
ECFP_496	0.0011993859813607764
ECFP_497	0.001984490692405486
ECFP_498	0.0014679798617510352
ECFP_499	0.001791582400559081
ECFP_500	0.006971729528531295
ECFP_501	0.001450691481592668
ECFP_502	0.007732711313889839
ECFP_503	0.017036050192536994
ECFP_504	0.004121062285314533
ECFP_505	0.001307541185106368
ECFP_506	0.004098518294816475
ECFP_507	0.00411825029648622
ECFP_508	0.0010574921669585916
ECFP_509	0.0050580808468881815
ECFP_510	0.00166564659759782
ECFP_511	0.0055031521740663445
ECFP_512	0.0015532908805410744
