Feature	MeanAbsSHAP_XGB
ECFP_971	0.0013147069
ECFP_972	0.0
ECFP_973	0.0021057487
ECFP_974	0.013731731
ECFP_975	0.0026014764
ECFP_976	0.0016814495
ECFP_977	0.0
ECFP_978	0.004243515
ECFP_979	0.014562614
ECFP_980	0.00038496513
ECFP_981	0.05476121
ECFP_982	0.0
ECFP_983	0.0
ECFP_984	0.0033631544
ECFP_985	0.0
ECFP_986	0.001403282
ECFP_987	0.0
ECFP_988	0.0010604647
ECFP_989	0.0020182705
ECFP_990	0.0
ECFP_991	0.0
ECFP_992	0.003896319
ECFP_993	0.048613526
ECFP_994	0.008248685
ECFP_995	0.0
ECFP_996	0.0007627878
ECFP_997	0.0
ECFP_998	0.0054968586
ECFP_999	0.00029842296
ECFP_1000	0.0
ECFP_1001	0.0
ECFP_1002	0.0
ECFP_1003	0.00047346335
ECFP_1004	0.006457393
ECFP_1005	0.0
ECFP_1006	0.0002499192
ECFP_1007	0.0
ECFP_1008	0.00055773125
ECFP_1009	0.0
ECFP_1010	0.0013928298
ECFP_1011	0.0
ECFP_1012	0.0050954563
ECFP_1013	0.0
ECFP_1014	0.0
ECFP_1015	0.0
ECFP_1016	0.00038068029
ECFP_1017	0.023171261
ECFP_1018	0.0003940608
ECFP_1019	0.037717752
ECFP_1020	0.0
ECFP_1021	0.0
ECFP_1022	0.0
ECFP_1023	0.0
